Code,Year,TOTAL,CO2,CH4,N2O,GVA,ITL1
E07000127,2018,528.9131541,365.0208627,86.66723979,77.22505162,2920,TLD
E07000127,2019,530.8619477,373.7194916,74.04065232,83.10180377,3016,TLD
E07000127,2020,511.5218383,355.2269863,70.63606806,85.65878398,2772,TLD
E07000127,2021,533.9368632,384.8006867,66.45538755,82.68078888,3087,TLD
E07000127,2022,510.0603123,355.0019181,70.49816024,84.56023397,3228,TLD
E07000127,2023,449.2766946,306.2363382,72.8351199,70.20523652,3351,TLD
E07000128,2015,513.7706092,300.859863,164.8590684,48.05167782,1934,TLD
E07000128,2016,499.0989714,276.2911007,175.2798575,47.52801315,1931,TLD
E07000128,2017,500.7691255,269.1470394,183.2900283,48.33205775,1898,TLD
E07000128,2018,493.7106508,265.8344523,181.7434944,46.13270414,1931,TLD
E07000128,2019,459.2789028,243.2838244,169.4522218,46.54285657,2000,TLD
E07000128,2020,450.4401859,239.5658492,164.4779404,46.39639637,1711,TLD
E07000128,2021,469.3656702,266.166678,157.2552946,45.94369765,1887,TLD
E07000128,2022,449.5497162,244.8993026,160.1697297,44.48068391,1944,TLD
E07000128,2023,425.7106109,213.9262209,167.902152,43.88223813,1883,TLD
E08000012,2015,1267.506789,934.0841578,314.0413979,19.3812329,14417,TLD
E08000012,2016,1102.31171,836.9262832,246.6411202,18.74430618,14307,TLD
E08000012,2017,956.047882,808.1383665,129.7576348,18.15188072,14705,TLD
E08000012,2018,996.167905,806.4967556,171.1818253,18.48932406,14644,TLD
E08000012,2019,966.1401495,747.1732212,200.6220639,18.3448644,15571,TLD
E08000012,2020,852.8131873,675.563903,158.4961888,18.75309547,13776,TLD
E08000012,2021,904.903771,734.6515261,150.6203489,19.63189599,15771,TLD
E08000012,2022,826.6701063,681.3487202,125.4464659,19.87492013,16846,TLD
E08000012,2023,785.6167238,616.5710019,148.4241397,20.62158211,16965,TLD
E08000003,2015,1557.042422,1277.222477,255.8060883,24.0138568,22357,TLD
E08000003,2016,1536.571531,1138.809168,373.5521272,24.21023561,23496,TLD
E08000003,2017,1363.345341,1062.40899,277.5286769,23.40767485,25585,TLD
E08000003,2018,1473.088598,1055.596395,395.0110073,22.48119595,26232,TLD
E08000003,2019,1460.468995,991.2362398,445.6354529,23.59730228,27678,TLD
E08000003,2020,1235.217148,882.2912239,329.5973568,23.32856706,25401,TLD
E08000003,2021,1165.940899,953.7794531,188.5644392,23.59700632,28225,TLD
E08000003,2022,1179.791683,898.0393666,258.7868544,22.96546184,32274,TLD
E08000003,2023,1207.767848,837.1321464,347.8800229,22.75567845,33045,TLD
E08000004,2015,423.9704898,341.3184393,71.40413523,11.24791528,4244,TLD
E08000004,2016,378.266263,322.5259134,43.93157662,11.80877298,4249,TLD
E08000004,2017,347.5108214,301.0476014,34.71154853,11.75167149,4517,TLD
E08000004,2018,383.0269007,335.3347397,35.80539948,11.88676154,4476,TLD
E08000004,2019,336.5377502,281.1855757,43.73229205,11.61988246,4578,TLD
E08000004,2020,307.2254118,268.203295,27.19889063,11.82322616,3974,TLD
E08000004,2021,349.4879506,311.23616,26.79544735,11.45634328,4217,TLD
E08000004,2022,311.0076524,274.1005106,25.82056601,11.08657579,4513,TLD
E08000004,2023,293.0278518,252.6694241,29.04651936,11.31190836,4486,TLD
E08000005,2015,541.9489936,484.1962485,46.75087462,11.0018704,3858,TLD
E08000005,2016,506.948906,451.1297057,45.03657954,10.78262073,3818,TLD
E08000005,2017,488.7190088,438.4967388,39.69066893,10.53160111,3866,TLD
E08000005,2018,494.6856338,447.8759691,35.89702355,10.91264116,3993,TLD
E08000005,2019,473.7478156,419.7589973,43.06635849,10.92245984,4086,TLD
E08000005,2020,458.305081,398.4163491,48.93632165,10.9524103,3758,TLD
E08000005,2021,471.5111865,428.1381796,32.84249078,10.53051615,3972,TLD
E08000005,2022,431.0909313,390.9697753,30.42875493,9.692401133,4289,TLD
E08000005,2023,400.9279227,361.1683907,29.62758044,10.13195158,4323,TLD
E08000006,2015,820.1582546,575.5140476,74.26912188,170.3750851,7759,TLD
E08000006,2016,813.4359447,548.319023,73.83243194,191.2844898,7450,TLD
E08000006,2017,797.8591928,515.182758,77.76745548,204.9089793,7685,TLD
E08000006,2018,808.3747708,548.5632595,71.77366522,188.037846,8316,TLD
E08000006,2019,773.6232075,507.1174324,64.7409327,201.7648424,8699,TLD
